biotypes,run,rate,injury
R,I,0,0
R,I,0,0
R,I,0,0
R,I,0,0
R,I,13.125,4
R,I,13.125,2
R,I,13.125,3
R,I,13.125,4
R,I,26.25,10
R,I,26.25,10
R,I,26.25,8
R,I,26.25,10
R,I,52.5,15
R,I,52.5,15
R,I,52.5,18
R,I,52.5,15
R,I,105,20
R,I,105,25
R,I,105,25
R,I,105,20
R,I,210,30
R,I,210,35
R,I,210,20
R,I,210,25
R,I,420,40
R,I,420,50
R,I,420,45
R,I,420,40
R,I,840,75
R,I,840,80
R,I,840,60
R,I,840,70
R,I,1680,99
R,I,1680,85
R,I,1680,90
R,I,1680,90
R,II,0,0
R,II,0,0
R,II,0,0
R,II,0,0
R,II,13.125,2
R,II,13.125,4
R,II,13.125,3
R,II,13.125,3
R,II,26.25,10
R,II,26.25,8
R,II,26.25,10
R,II,26.25,8
R,II,52.5,15
R,II,52.5,15
R,II,52.5,17
R,II,52.5,18
R,II,105,30
R,II,105,25
R,II,105,25
R,II,105,25
R,II,210,35
R,II,210,30
R,II,210,25
R,II,210,35
R,II,420,50
R,II,420,60
R,II,420,55
R,II,420,40
R,II,840,70
R,II,840,85
R,II,840,90
R,II,840,99
R,II,1680,99
R,II,1680,99
R,II,1680,99
R,II,1680,99
S,I,0,0
S,I,0,0
S,I,0,0
S,I,0,0
S,I,13.125,40
S,I,13.125,35
S,I,13.125,40
S,I,13.125,40
S,I,26.25,90
S,I,26.25,85
S,I,26.25,95
S,I,26.25,85
S,I,52.5,99
S,I,52.5,99
S,I,52.5,99
S,I,52.5,99
S,I,105,99
S,I,105,99
S,I,105,99
S,I,105,99
S,I,210,99
S,I,210,99
S,I,210,99
S,I,210,99
S,I,420,99
S,I,420,99
S,I,420,99
S,I,420,99
S,I,840,99
S,I,840,99
S,I,840,99
S,I,840,99
S,I,1680,99
S,I,1680,99
S,I,1680,99
S,I,1680,99
S,II,0,0
S,II,0,0
S,II,0,0
S,II,0,0
S,II,13.125,20
S,II,13.125,25
S,II,13.125,30
S,II,13.125,25
S,II,26.25,50
S,II,26.25,60
S,II,26.25,80
S,II,26.25,60
S,II,52.5,80
S,II,52.5,85
S,II,52.5,85
S,II,52.5,70
S,II,105,90
S,II,105,95
S,II,105,99
S,II,105,99
S,II,210,99
S,II,210,99
S,II,210,99
S,II,210,99
S,II,420,99
S,II,420,99
S,II,420,99
S,II,420,99
S,II,840,99
S,II,840,99
S,II,840,99
S,II,840,99
S,II,1680,99
S,II,1680,99
S,II,1680,99
S,II,1680,99
RS/F1-5,I,0,0
RS/F1-5,I,0,0
RS/F1-5,I,0,0
RS/F1-5,I,0,0
RS/F1-5,I,13.125,5
RS/F1-5,I,13.125,10
RS/F1-5,I,13.125,10
RS/F1-5,I,13.125,15
RS/F1-5,I,26.25,25
RS/F1-5,I,26.25,28
RS/F1-5,I,26.25,30
RS/F1-5,I,26.25,30
RS/F1-5,I,52.5,45
RS/F1-5,I,52.5,40
RS/F1-5,I,52.5,45
RS/F1-5,I,52.5,45
RS/F1-5,I,105,50
RS/F1-5,I,105,55
RS/F1-5,I,105,60
RS/F1-5,I,105,55
RS/F1-5,I,210,60
RS/F1-5,I,210,65
RS/F1-5,I,210,60
RS/F1-5,I,210,65
RS/F1-5,I,420,70
RS/F1-5,I,420,75
RS/F1-5,I,420,80
RS/F1-5,I,420,75
RS/F1-5,I,840,80
RS/F1-5,I,840,85
RS/F1-5,I,840,85
RS/F1-5,I,840,90
RS/F1-5,I,1680,95
RS/F1-5,I,1680,99
RS/F1-5,I,1680,99
RS/F1-5,I,1680,99
RS/F1-5,II,0,0
RS/F1-5,II,0,0
RS/F1-5,II,0,0
RS/F1-5,II,0,0
RS/F1-5,II,13.125,10
RS/F1-5,II,13.125,20
RS/F1-5,II,13.125,15
RS/F1-5,II,13.125,20
RS/F1-5,II,26.25,30
RS/F1-5,II,26.25,35
RS/F1-5,II,26.25,35
RS/F1-5,II,26.25,40
RS/F1-5,II,52.5,45
RS/F1-5,II,52.5,45
RS/F1-5,II,52.5,50
RS/F1-5,II,52.5,50
RS/F1-5,II,105,60
RS/F1-5,II,105,65
RS/F1-5,II,105,70
RS/F1-5,II,105,75
RS/F1-5,II,210,80
RS/F1-5,II,210,75
RS/F1-5,II,210,70
RS/F1-5,II,210,70
RS/F1-5,II,420,80
RS/F1-5,II,420,85
RS/F1-5,II,420,80
RS/F1-5,II,420,80
RS/F1-5,II,840,90
RS/F1-5,II,840,85
RS/F1-5,II,840,85
RS/F1-5,II,840,90
RS/F1-5,II,1680,99
RS/F1-5,II,1680,99
RS/F1-5,II,1680,95
RS/F1-5,II,1680,99
